"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",24.95241082599934960,18197.51125791278347807
"AFG",205791.24716619915770346,64385715.38638356782273613
"AGO",55292492.03695913893942816,124742297.51717471364472713
"AIA",2125.76740300813365537,8332.24776609411431551
"ALA",107727.26260979269599088,150643.27693975274829124
"ALB",648680.052297010739038484,2873537.207248835806836056
"AND",19004.037659664047566685,45196.4107318467830874
"ARE",0.0,7120447.90264910914449799
"ARG",39086979.320573139392011975,278010122.069233903456802674
"ARM",336842.15093735045586221,2969008.679990120091017749
"ATF",71.636103116416558,4361.769312734769533
"ATG",19323.34434460069422028,43575.65842128847962766
"AUS",42280598.692826830265012600,768791340.120067315287393726
"AUT",4336043.42772911467639467,8385801.905500154676451895
"AZE",1268610.215076194697089259,8623532.539268965757957914
"BDI",537674.34837589558663483,2693531.44182181066751542
"BEL",865425.88458963818396995,3070744.16406781446139173
"BEN",168568.17385018947826310,11542318.34442295619131237
"BES",2432.08701945959053733,32365.98588800526472777
"BFA",132.10845248515465048,27341710.74522465801052885
"BGD",1938957.84070289231524345,13938437.34061737190493831
"BGR",4138947.995682637024012789,11158730.95492148956620777
"BHR",0.0,71517.71355012742998441
"BHS",303575.42138555087721577,1338763.00509957156131656
"BIH",2657977.375734828679221745,5106883.29435643645549771
"BLM",621.9506204239996065,2468.52481734927416195
"BLR",9118585.55132818264010000,20706912.08808507917971900
"BLZ",1748275.85481302915181616,2198946.13206759673934416
"BMU",604.79413164675989352,6808.11859427956730054
"BOL",64521463.01088465233508402,108339284.56963628081513457
"BRA",519187508.44570514776112092,850035649.73938383529769281
"BRB",5229.73614466928179077,43466.14610412696786089
"BRN",529338.97440788439584060,577778.77387917094504426
"BTN",2577234.59845935733976545,3876296.12215421581294617
"BWA",20328.41012015846000624,57788401.20904666693196650
"CAF",47073501.13444479177388896,62019959.33841871930460601
"CAN",418066982.534636844065471221,983422993.937907234071463983
"CHE",1544417.660332635322005890,4124549.641870484300648715
"CHL",19287066.431302760679439391,75735291.610013142580063365
"CHN",162748596.437147417090895756,938223515.69216347328466168
"CIV",14872640.43008409106733442,32165794.10811164281004339
"CMR",31459332.15238558731055185,46604005.88968985474508648
"COD",199281686.52502435658379450,232912780.76088269871342483
"COG",26388373.13191859510504155,34173222.79362341360023002
"COL",81801036.05465150745313002,113675874.94466192374202195
"COM",134784.16599876613293446,167304.82830116126667359
"CPV",7355.95390616581376522,409097.906602071621516
"CRI",3913048.86417331193470082,5117666.97282913484483068
"CUB",4014607.41507634325090744,11073121.95109024903278924
"CUW",5260.66776782055795859,43776.98739261536205822
"CYM",13458.39070137770195262,28039.82870751711132386
"CYP",89657.93337912583461043,571955.85590310203049308
"CZE",3080384.40760456654737423,7883558.885973938734314625
"DEU",12526779.901288508607624716,35783855.986941242866882636
"DJI",0.07522455290690104,2186335.7649968279184120
"DMA",70924.82619292598407162,75428.07801474691528537
"DNK",663203.697841324796107594,4314471.770574758680949485
"DOM",2576426.46692116521690134,4809195.18837639273590320
"DZA",1223621.290838991027922530,230804377.30747518080376860
"ECU",19027558.83812865202351639,25611545.43210260468075598
"EGY",154304.25470168072487494,98376439.43319321120416234
"ERI",4.60761319908799928,12045733.19758741315739280
"ESH",0.0,26732059.5521597573035121
"ESP",11018923.060405317708306768,50604278.841075684765572189
"EST",2639428.801214085293463454,4548974.01267701704912088
"ETH",12040336.15060713990937560,112951806.95088634242962062
"FIN",21627651.620616527004363298,33693917.990938315857081794
"FJI",1556559.24283950891930752,1808230.97430809141496402
"FLK",2188.35746794300843159,1239764.463493973901917
"FRA",16783020.102675463850080405,54951497.53228370427278691
"FRO",0.0,143971.2983411773785846
"FSM",6171.7177453986298301,10266.9444925617831798
"GAB",24690965.17150947430755613,26454969.88269715609129118
"GBR",3695599.410974449801162221,24548497.615154665277147840
"GEO",3144573.090796248677940146,6984457.38667292667354407
"GGY",1508.204995808022070066,8844.9375590155704219
"GHA",6955668.11695468396785314,23832413.12140868058109355
"GIB",119.85350947553392764,721.21646588172669397
"GIN",8159637.06972526372757467,24481606.68352819687673125
"GLP",94757.79385746894016457,165028.80176981099789578
"GMB",4562.45664965890636494,1067050.75194435271179781
"GNB",1069848.61390141828799471,3388205.00461438243712888
"GNQ",2654595.05549446168686142,2695935.33829353596960316
"GRC",3672496.928590455518057960,13257505.410981945352559144
"GRD",28534.39672515562180830,35953.33668168480553871
"GRL",0.0,12409768.809413019128995
"GTM",7693455.58401394665898249,10915098.49020742193862062
"GUF",8162751.08527693784185806,8330096.72653077320212485
"GUY",18996032.65975955749030469,20974416.13835108433985901
"HKG",62046.32394556314765611,112913.21583203530474884
"HND",7740481.98080387598104839,11228979.89758672904845445
"HRV",2431307.547132060942077926,5707840.16868146891697563
"HTI",858466.37960028120773611,2710683.58727078451577783
"HUN",1990161.061776498328472454,9305263.74442707465554289
"IDN",160641223.32647657526416753,189024469.02198137943848768
"IMN",13217.1496224080586844,57966.5095725229932597
"IND",38830351.46155825888668103,315279651.30505029256752354
"IRL",841570.768495551907328581,7036644.64593799535219863
"IRN",1731671.41946547012391686,162173902.839996297233452004
"IRQ",17504.25585700893207795,44535864.69401216852968008
"ISL",0.0,10222425.8295589217233
"ISR",29485.15502805972266069,2215883.36642849937188736
"ITA",9318960.444528540990871616,30075442.783975492246331244
"JAM",768439.99158160381127098,1099979.93279540569275316
"JEY",1549.97069756192956235,12512.5519569385063912
"JOR",2271.45974126752423,8911879.30131102316977817
"JPN",26387254.411338205639501823,37240326.656746849200383319
"KAZ",4240315.679628233740828382,273053036.224312493965095267
"KEN",3319482.95848815997739551,58598335.71896554724182145
"KGZ",674974.256373861423050534,19864898.7038509377793744
"KHM",8809929.84861436818043006,18135960.79359206806780213
"KIR",0.0,689.8485050325128
"KNA",13259.95374941170044659,26717.78772643003525339
"KOR",5367962.225609561850670991,10022829.791974387743904996
"KWT",0.0,1738893.7953499293909518
"LAO",19129551.50593093588300658,23000147.78672162472890329
"LBN",65235.17381314939304433,1023803.86081601824981810
"LBR",9384713.47510007146057515,9591801.58297116832322747
"LBY",6833.00933028972702246,161606184.847942466632248
"LCA",50731.18581796250464551,61447.62916553702303451
"LIE",9077.337999985889875076,16203.80932192974919216
"LKA",3939923.71486803960837433,6583727.01456332323808372
"LSO",6051.93664161028416251,3054531.16285661912249651
"LTU",2336226.27916495003548424,6501662.93935404736901380
"LUX",101326.48540681906411690,258155.739396162699086836
"LVA",3553506.464905771059791346,6470996.26092478897225044
"MAC",413.185747397796295,3412.78642429265267036
"MAF",1849.57709341619084498,5616.34278553873862317
"MAR",648568.62339050284985219,41348767.35079900016370213
"MCO",0.3916300133007813,235.29748447853303349
"MDA",356012.10175025469915383,3390780.839077123592658717
"MDG",17141085.63788066207347669,59144707.32516794490096097
"MDV",5569.75391625988674057,27912.71303579209694911
"MEX",53177141.60100895716049751,195185464.54582277101906696
"MKD",781684.41677569151773492,2482514.9576144898063591
"MLI",25097.99975557761319384,125119256.16729660761334505
