iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
AGO,2001,4958,3009344
ARG,2001,5980,2277270
AUS,2001,0,133
BDI,2001,6,3307
BES,2001,0,64
BGD,2001,385,223972
BHS,2001,0,50
BLZ,2001,1271,600379
BOL,2001,36530,20416851
BRA,2001,465543,294948899
BRN,2001,256,210535
BTN,2001,69,47102
CAF,2001,3940,2677290
CHN,2001,867,473069
CIV,2001,14045,6175932
CMR,2001,8287,5198693
COD,2001,92020,62570729
COG,2001,7399,4623297
COL,2001,24082,15071163
CRI,2001,522,303721
CUB,2001,475,163254
CYM,2001,2,588
DMA,2001,5,3048
DOM,2001,236,104579
ECU,2001,4701,3195732
ETH,2001,1399,917591
FJI,2001,13,7008
GAB,2001,5118,3213738
GHA,2001,1700,798338
GIN,2001,288,144899
GLP,2001,3,1678
GNB,2001,9,2456
GNQ,2001,603,379520
GTM,2001,3979,2071393
GUF,2001,902,725373
GUY,2001,1835,1254374
HND,2001,4747,2638691
HTI,2001,10,4973
IDN,2001,114394,109222874
IND,2001,5542,3322220
JAM,2001,90,51023
KEN,2001,2391,1378696
KHM,2001,8908,5259288
KNA,2001,2,986
LAO,2001,10263,6256066
LBR,2001,2081,1062051
LCA,2001,1,633
LKA,2001,116,49328
MAF,2001,0,174
MDG,2001,21194,11483277
MDV,2001,0,0
MEX,2001,8045,3960565
MMR,2001,9308,5589933
MOZ,2001,48,23999
MSR,2001,0,248
MTQ,2001,2,863
MWI,2001,3,1397
MYS,2001,24068,19793424
NGA,2001,3495,1370605
NIC,2001,1853,1068508
NPL,2001,59,36610
PAN,2001,1187,738361
PER,2001,28699,19266386
PHL,2001,1655,1181883
PLW,2001,7,5852
PNG,2001,10238,8701775
PRI,2001,29,17098
PRY,2001,13534,5182738
RWA,2001,11,6815
SLB,2001,746,601733
SLE,2001,267,136020
SLV,2001,11,6627
SSD,2001,11,6360
SUR,2001,1145,925895
SXM,2001,0,35
TCA,2001,1,105
TGO,2001,2,763
THA,2001,2035,1247487
TTO,2001,83,66867
TWN,2001,63,38223
TZA,2001,1579,956710
UGA,2001,3742,1864308
USA,2001,34,16054
VCT,2001,0,38
VEN,2001,10438,6605158
VGB,2001,1,365
VIR,2001,0,215
VNM,2001,12002,7026421
VUT,2001,17,10583
ZAF,2001,54,27022
ZMB,2001,92,44759
ZWE,2001,9,4708
AGO,2002,3500,2040163
ARG,2002,9317,3387228
AUS,2002,1,273
BDI,2002,4,2293
BEN,2002,0,69
BGD,2002,619,371210
